pulseheight,counts_ch_A,counts_ch_B
2.450980392156863,180,0
7.352941176470589,768,0
12.254901960784315,4175,0
17.15686274509804,5205,0
22.058823529411768,5267,0
26.96078431372549,6484,0
31.862745098039216,8232,0
36.76470588235294,9481,0
41.66666666666667,10161,0
46.5686274509804,10101,0
51.470588235294116,9554,0
56.372549019607845,8880,0
61.274509803921575,7797,0
66.1764705882353,7044,0
71.07843137254902,6294,0
75.98039215686275,5440,0
80.88235294117648,4850,0
85.78431372549021,4538,0
90.68627450980392,4289,0
95.58823529411765,3171,0
100.49019607843138,2942,0
105.39215686274511,2659,0
110.29411764705883,2630,0
115.19607843137256,2147,0
120.09803921568628,2026,0
125.00000000000001,1981,0
129.90196078431376,2069,0
134.80392156862746,1426,0
139.70588235294116,1419,0
144.60784313725492,1361,0
149.50980392156862,1258,0
154.41176470588238,1128,0
159.31372549019608,1092,0
164.21568627450984,1032,0
169.11764705882354,970,0
174.0196078431373,894,0
178.921568627451,847,0
183.8235294117647,800,0
188.72549019607845,978,0
193.62745098039215,689,0
198.5294117647059,707,0
203.4313725490196,654,0
208.33333333333337,660,0
213.23529411764707,930,0
218.13725490196077,623,0
223.03921568627453,1044,0
227.94117647058823,546,0
232.843137254902,498,0
237.7450980392157,484,0
242.64705882352945,511,0
247.54901960784315,445,0
252.4509803921569,493,0
257.3529411764706,484,0
262.2549019607843,427,0
267.15686274509807,490,0
272.05882352941177,428,0
276.9607843137255,367,0
281.8627450980392,484,0
286.7647058823529,419,0
291.6666666666667,404,0
296.56862745098044,352,0
301.47058823529414,361,0
306.37254901960785,382,0
311.2745098039216,325,0
316.1764705882353,332,0
321.07843137254906,294,0
325.98039215686276,329,0
330.88235294117646,374,0
335.7843137254902,372,0
340.686274509804,299,0
345.5882352941177,294,0
350.4901960784314,293,0
355.39215686274514,424,0
360.29411764705884,246,0
365.1960784313726,229,0
370.0980392156863,282,0
375.0,238,0
379.90196078431376,253,0
384.8039215686275,254,0
389.7058823529412,272,0
394.6078431372549,256,0
399.5098039215686,257,0
404.4117647058824,242,0
409.31372549019613,374,0
414.21568627450984,252,0
419.11764705882354,248,0
424.0196078431373,294,0
428.921568627451,287,0
433.82352941176475,259,0
438.72549019607845,265,0
443.62745098039215,240,0
448.5294117647059,296,0
453.43137254901967,263,0
458.33333333333337,193,0
463.2352941176471,209,0
468.13725490196083,181,0
473.03921568627453,162,0
477.9411764705883,161,0
482.843137254902,138,0
487.7450980392157,151,0
492.64705882352945,111,0
497.5490196078432,104,0
502.4509803921569,154,0
507.3529411764706,93,0
512.2549019607843,118,0
517.1568627450981,89,0
