pulseheight,counts_ch_A,counts_ch_B
0.6109481915933529,0,0
1.8328445747800588,0,0
3.0547409579667644,15,0
4.276637341153471,163,0
5.4985337243401755,161,0
6.720430107526882,169,0
7.9423264907135875,187,0
9.164222873900293,250,0
10.386119257087,574,0
11.608015640273706,1012,0
12.82991202346041,1250,0
14.051808406647117,1305,0
15.273704789833822,1330,0
16.49560117302053,1273,0
17.717497556207235,1286,0
18.939393939393938,1279,0
20.161290322580648,1308,0
21.38318670576735,1247,0
22.605083088954057,1356,0
23.826979472140764,1353,0
25.048875855327466,1473,0
26.270772238514176,1531,0
27.49266862170088,1598,0
28.71456500488759,1830,0
29.936461388074292,1899,0
31.158357771260995,1918,0
32.380254154447705,2078,0
33.60215053763441,2264,0
34.82404692082112,2285,0
36.04594330400782,2309,0
37.267839687194524,2371,0
38.489736070381234,2474,0
39.71163245356794,2467,0
40.93352883675465,2458,0
42.15542521994135,2570,0
43.37732160312805,2631,0
44.59921798631476,2555,0
45.821114369501466,2548,0
47.043010752688176,2483,0
48.26490713587488,2510,0
49.48680351906158,2489,0
50.70869990224829,2386,0
51.930596285434994,2371,0
53.152492668621704,2286,0
54.37438905180841,2375,0
55.59628543499511,2237,0
56.81818181818182,2197,0
58.04007820136853,2082,0
59.26197458455523,2089,0
60.483870967741936,1990,0
61.70576735092864,1868,0
62.92766373411535,1873,0
64.14956011730206,1809,0
65.37145650048876,1783,0
66.59335288367546,1797,0
67.81524926686217,1673,0
69.03714565004887,1694,0
70.25904203323559,1580,0
71.48093841642229,1499,0
72.702834799609,1497,0
73.9247311827957,1492,0
75.14662756598241,1353,0
76.36852394916912,1308,0
77.59042033235582,1312,0
78.81231671554252,1304,0
80.03421309872923,1235,0
81.25610948191593,1218,0
82.47800586510265,1133,0
83.69990224828935,1118,0
84.92179863147605,1114,0
86.14369501466275,1090,0
87.36559139784947,1151,0
88.58748778103617,1360,0
89.80938416422288,1214,0
91.03128054740958,937,0
92.25317693059628,880,0
93.47507331378299,817,0
94.6969696969697,776,0
95.9188660801564,790,0
97.14076246334311,791,0
