pulseheight,counts_ch_A,counts_ch_B
1.911764705882353,25,0
5.735294117647059,722,0
9.558823529411764,1521,0
13.382352941176471,3547,0
17.205882352941178,3342,0
21.029411764705884,3178,0
24.852941176470587,3421,0
28.676470588235297,5023,0
32.5,5325,0
36.32352941176471,4464,0
40.14705882352941,4155,0
43.970588235294116,4361,0
47.794117647058826,4447,0
51.617647058823536,4549,0
55.44117647058824,4719,0
59.26470588235294,4419,0
63.08823529411765,4032,0
66.91176470588235,3709,0
70.73529411764707,4751,0
74.55882352941177,3425,0
78.38235294117646,2938,0
82.20588235294119,2765,0
86.02941176470588,2533,0
89.8529411764706,3932,0
93.6764705882353,2161,0
97.5,1929,0
101.32352941176471,1850,0
105.14705882352942,1726,0
108.97058823529412,4636,0
112.79411764705884,1861,0
116.61764705882354,1362,0
120.44117647058823,1334,0
124.26470588235296,1286,0
128.08823529411765,2861,0
131.91176470588238,5320,0
135.73529411764707,991,0
139.55882352941177,1106,0
143.38235294117646,1099,0
147.2058823529412,1079,0
151.02941176470588,1092,0
154.8529411764706,1038,0
158.6764705882353,874,0
162.5,728,0
166.3235294117647,728,0
170.14705882352942,710,0
173.97058823529414,648,0
177.79411764705884,660,0
181.61764705882354,564,0
185.44117647058823,604,0
189.26470588235296,678,0
193.08823529411765,487,0
196.91176470588238,502,0
200.73529411764707,449,0
204.55882352941177,468,0
208.38235294117646,435,0
212.2058823529412,494,0
216.02941176470588,501,0
219.8529411764706,559,0
223.6764705882353,4351,0
227.5,767,0
231.32352941176472,340,0
235.14705882352942,307,0
238.97058823529414,318,0
242.79411764705884,411,0
246.61764705882354,370,0
250.44117647058823,292,0
254.26470588235296,300,0
258.0882352941177,382,0
261.9117647058823,297,0
265.7352941176471,309,0
269.5588235294118,304,0
273.38235294117646,335,0
277.2058823529412,295,0
281.02941176470586,596,0
284.8529411764706,387,0
288.6764705882353,362,0
292.5,286,0
296.32352941176475,339,0
300.1470588235294,302,0
303.97058823529414,249,0
307.79411764705884,295,0
311.61764705882354,272,0
315.4411764705883,271,0
319.2647058823529,246,0
323.0882352941177,316,0
326.9117647058823,320,0
330.7352941176471,301,0
334.5588235294118,308,0
338.38235294117646,273,0
342.2058823529412,445,0
346.02941176470586,260,0
349.8529411764706,250,0
353.67647058823536,296,0
357.5,250,0
361.32352941176475,249,0
365.1470588235294,216,0
368.97058823529414,215,0
372.79411764705884,221,0
376.61764705882354,228,0
380.4411764705883,221,0
384.2647058823529,230,0
388.0882352941177,177,0
391.9117647058824,205,0
395.7352941176471,160,0
399.5588235294118,155,0
403.38235294117646,213,0
407.2058823529412,422,0
411.02941176470586,812,0
414.8529411764706,208,0
418.67647058823536,175,0
422.5,233,0
426.32352941176475,164,0
430.1470588235294,197,0
433.97058823529414,185,0
437.79411764705884,135,0
441.61764705882354,174,0
445.4411764705883,161,0
449.2647058823529,186,0
453.0882352941177,368,0
456.9117647058824,173,0
460.7352941176471,152,0
464.5588235294118,130,0
468.38235294117646,219,0
472.2058823529412,151,0
476.02941176470586,113,0
479.8529411764706,121,0
483.67647058823536,114,0
487.5,119,0
491.32352941176475,114,0
495.1470588235294,119,0
498.97058823529414,125,0
502.7941176470589,260,0
506.61764705882354,184,0
510.4411764705883,158,0
514.2647058823529,245,0
518.0882352941177,139,0
521.9117647058824,106,0
525.7352941176471,109,0
529.5588235294117,140,0
533.3823529411766,330,0
537.2058823529412,171,0
541.0294117647059,112,0
544.8529411764706,109,0
548.6764705882354,155,0
552.5,195,0
556.3235294117648,93,0
560.1470588235295,109,0
563.9705882352941,119,0
567.7941176470588,95,0
571.6176470588235,78,0
575.4411764705883,88,0
579.2647058823529,120,0
583.0882352941177,111,0
586.9117647058824,70,0
590.7352941176471,66,0
594.5588235294117,61,0
598.3823529411766,43,0
602.2058823529412,49,0
606.0294117647059,62,0
609.8529411764706,53,0
613.6764705882354,52,0
617.5,32,0
621.3235294117648,31,0
625.1470588235295,32,0
628.9705882352941,90,0
632.7941176470588,83,0
636.6176470588236,43,0
640.4411764705883,162,0
644.2647058823529,463,0
648.0882352941177,94,0
651.9117647058824,24,0
655.7352941176471,30,0
659.5588235294117,18,0
663.3823529411766,28,0
667.2058823529412,18,0
671.0294117647059,57,0
674.8529411764706,71,0
678.6764705882354,27,0
682.5,25,0
686.3235294117648,29,0
690.1470588235295,31,0
693.9705882352941,25,0
697.7941176470588,34,0
701.6176470588236,24,0
705.4411764705883,39,0
709.2647058823529,26,0
713.0882352941177,30,0
716.9117647058824,25,0
720.7352941176471,20,0
724.5588235294117,22,0
728.3823529411766,24,0
732.2058823529412,19,0
736.0294117647059,20,0
739.8529411764706,16,0
743.6764705882354,20,0
747.5,28,0
751.3235294117648,17,0
755.1470588235295,21,0
758.9705882352941,24,0
762.7941176470588,22,0
766.6176470588236,23,0
770.4411764705883,40,0
774.2647058823529,29,0
