pulseheight,counts_ch_A,counts_ch_B
1.911764705882353,9,0
5.735294117647059,250,0
9.558823529411764,349,0
13.382352941176471,833,0
17.205882352941178,845,0
21.029411764705884,746,0
24.852941176470587,711,0
28.676470588235297,744,0
32.5,761,0
36.32352941176471,803,0
40.14705882352941,766,0
43.970588235294116,872,0
47.794117647058826,911,0
51.617647058823536,932,0
55.44117647058824,914,0
59.26470588235294,892,0
63.08823529411765,903,0
66.91176470588235,923,0
70.73529411764707,1091,0
74.55882352941177,1091,0
78.38235294117646,879,0
82.20588235294119,828,0
86.02941176470588,824,0
89.8529411764706,787,0
93.6764705882353,748,0
97.5,694,0
101.32352941176471,655,0
105.14705882352942,681,0
108.97058823529412,701,0
112.79411764705884,679,0
116.61764705882354,653,0
120.44117647058823,625,0
124.26470588235296,623,0
128.08823529411765,660,0
131.91176470588238,610,0
135.73529411764707,628,0
139.55882352941177,595,0
143.38235294117646,619,0
147.2058823529412,587,0
151.02941176470588,639,0
154.8529411764706,661,0
158.6764705882353,745,0
162.5,740,0
166.3235294117647,801,0
170.14705882352942,795,0
173.97058823529414,778,0
177.79411764705884,566,0
181.61764705882354,432,0
185.44117647058823,367,0
189.26470588235296,315,0
193.08823529411765,275,0
196.91176470588238,250,0
200.73529411764707,184,0
204.55882352941177,157,0
208.38235294117646,131,0
212.2058823529412,103,0
216.02941176470588,105,0
219.8529411764706,103,0
223.6764705882353,87,0
227.5,86,0
231.32352941176472,69,0
235.14705882352942,79,0
238.97058823529414,300,0
242.79411764705884,6445,0
246.61764705882354,977,0
250.44117647058823,11,0
254.26470588235296,6,0
258.0882352941177,6,0
261.9117647058823,5,0
265.7352941176471,11,0
269.5588235294118,12,0
273.38235294117646,9,0
277.2058823529412,5,0
281.02941176470586,14,0
284.8529411764706,14,0
288.6764705882353,6,0
292.5,11,0
296.32352941176475,8,0
300.1470588235294,5,0
303.97058823529414,6,0
307.79411764705884,5,0
311.61764705882354,6,0
315.4411764705883,9,0
319.2647058823529,6,0
323.0882352941177,7,0
326.9117647058823,7,0
330.7352941176471,5,0
334.5588235294118,9,0
338.38235294117646,6,0
342.2058823529412,3,0
346.02941176470586,6,0
349.8529411764706,8,0
353.67647058823536,6,0
357.5,4,0
361.32352941176475,7,0
365.1470588235294,3,0
368.97058823529414,5,0
372.79411764705884,9,0
376.61764705882354,10,0
380.4411764705883,3,0
384.2647058823529,2,0
388.0882352941177,4,0
391.9117647058824,4,0
395.7352941176471,8,0
399.5588235294118,5,0
403.38235294117646,3,0
407.2058823529412,4,0
411.02941176470586,3,0
414.8529411764706,2,0
418.67647058823536,1,0
422.5,3,0
426.32352941176475,2,0
430.1470588235294,5,0
433.97058823529414,7,0
437.79411764705884,4,0
441.61764705882354,2,0
445.4411764705883,4,0
449.2647058823529,6,0
453.0882352941177,4,0
456.9117647058824,3,0
460.7352941176471,2,0
464.5588235294118,2,0
468.38235294117646,3,0
472.2058823529412,4,0
476.02941176470586,3,0
479.8529411764706,3,0
483.67647058823536,3,0
487.5,1,0
491.32352941176475,2,0
495.1470588235294,1,0
498.97058823529414,4,0
502.7941176470589,2,0
506.61764705882354,0,0
510.4411764705883,1,0
514.2647058823529,1,0
518.0882352941177,0,0
521.9117647058824,0,0
525.7352941176471,1,0
529.5588235294117,7,0
533.3823529411766,17,0
537.2058823529412,11,0
541.0294117647059,2,0
544.8529411764706,1,0
548.6764705882354,1,0
552.5,0,0
556.3235294117648,1,0
560.1470588235295,1,0
563.9705882352941,1,0
567.7941176470588,2,0
571.6176470588235,0,0
575.4411764705883,2,0
579.2647058823529,1,0
583.0882352941177,3,0
586.9117647058824,0,0
590.7352941176471,0,0
594.5588235294117,1,0
598.3823529411766,2,0
602.2058823529412,3,0
606.0294117647059,1,0
609.8529411764706,1,0
613.6764705882354,2,0
617.5,1,0
621.3235294117648,0,0
625.1470588235295,0,0
628.9705882352941,0,0
632.7941176470588,1,0
636.6176470588236,1,0
640.4411764705883,0,0
644.2647058823529,4,0
648.0882352941177,0,0
651.9117647058824,0,0
655.7352941176471,0,0
659.5588235294117,0,0
663.3823529411766,1,0
667.2058823529412,0,0
671.0294117647059,0,0
674.8529411764706,0,0
678.6764705882354,1,0
682.5,0,0
686.3235294117648,3,0
690.1470588235295,1,0
693.9705882352941,2,0
697.7941176470588,1,0
701.6176470588236,0,0
705.4411764705883,2,0
709.2647058823529,0,0
713.0882352941177,0,0
716.9117647058824,0,0
720.7352941176471,1,0
724.5588235294117,0,0
728.3823529411766,1,0
732.2058823529412,1,0
736.0294117647059,1,0
739.8529411764706,2,0
743.6764705882354,0,0
747.5,0,0
751.3235294117648,0,0
755.1470588235295,0,0
758.9705882352941,0,0
762.7941176470588,1,0
766.6176470588236,0,0
770.4411764705883,0,0
774.2647058823529,0,0
778.0882352941177,0,0
781.9117647058824,0,0
785.7352941176471,0,0
789.5588235294118,1,0
793.3823529411766,1,0
797.2058823529412,0,0
801.0294117647059,0,0
804.8529411764706,0,0
808.6764705882354,0,0
812.5,2,0
816.3235294117648,0,0
820.1470588235295,2,0
823.9705882352941,0,0
827.7941176470588,0,0
831.6176470588236,0,0
835.4411764705883,0,0
839.2647058823529,0,0
